match,round,slot_a,slot_b
73,R32,A2,B2
74,R32,C1,F2
75,R32,E1,3:A/B/C/D/F
76,R32,F1,C2
77,R32,E2,I2
78,R32,I1,3:C/D/F/G/H
79,R32,A1,3:C/E/F/H/I
80,R32,L1,3:E/H/I/J/K
81,R32,G1,3:A/E/H/I/J
82,R32,D1,3:B/E/F/I/J
83,R32,H1,J2
84,R32,K2,L2
85,R32,B1,3:E/F/G/I/J
86,R32,D2,G2
87,R32,J1,H2
88,R32,K1,3:D/E/I/J/L
89,R16,W73,W75
90,R16,W74,W77
91,R16,W76,W78
92,R16,W79,W80
93,R16,W83,W84
94,R16,W81,W82
95,R16,W86,W88
96,R16,W85,W87
97,QF,W89,W90
98,QF,W93,W94
99,QF,W91,W92
100,QF,W95,W96
101,SF,W97,W98
102,SF,W99,W100
103,FINAL,W101,W102
